,id,name,picture_url,host_id,host_since,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_90,review_scores_rating,calculated_host_listings_count,reviews_per_month,Hotel room,Private room,Shared room,host_since_interval,5 to 10,less than 5,Lprice,bathrooms_cislo,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,neighborhood_overview_1,host_location_1,host_about_1,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,has_availability_t,instant_bookable_t,price_range
71,493375,Rental unit in Prague · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,https://a0.muscache.com/pictures/06cf7813-869d-4b7b-a3c6-fa83f8e7c7e2.jpg,2399088,2012-05-17,100.0,67.0,Praha 8,50.09191,14.45083,Private room,2, shared baths,1.0,1000.0,2,5,64,4.89,1,1.61,False,True,False, more than 10,False,False,6.907755278982137,1.5,False,False,True,True,True,True,True,True,True,True,False,500-1000
72,498646,Rental unit in Prague · ★4.70 · 1 bedroom · 1 bed · 1 bath,https://a0.muscache.com/pictures/7580449/2eb58cb3_original.jpg,2453534,2012-05-24,100.0,98.0,Praha 2,50.07181,14.41646,Entire home/apt,2, bath,1.0,2091.0,4,30,73,4.7,1,2.47,False,False,False, more than 10,False,False,7.645397699428633,1.0,False,False,True,False,True,True,True,True,True,True,False,2000-2500
76,537019,Rental unit in Prague · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,https://a0.muscache.com/pictures/4ad77169-f035-4071-8a04-23ffe89f9788.jpg,5282,2008-12-17,100.0,100.0,Praha 1,50.08229,14.41552,Entire home/apt,4, baths,2.0,3825.0,1,365,28,4.91,74,0.16,False,False,False, more than 10,False,False,8.249313746260636,1.5,False,False,True,False,True,True,True,True,True,True,True,>3000
78,547555,Rental unit in Prague · ★4.70 · 2 bedrooms · 3 beds · 1 bath,https://a0.muscache.com/pictures/efb044a4-fe2f-47b9-aeb4-55e424fcfdfa.jpg,2691904,2012-06-20,81.0,98.0,Praha 1,50.0846,14.41673,Entire home/apt,6, bath,3.0,6904.0,2,1124,74,4.7,30,0.57,False,False,False, more than 10,False,False,8.839856232763264,1.0,False,False,True,False,True,True,False,True,True,True,True,>3000
79,549837,Rental unit in Prague · ★4.80 · 2 bedrooms · 3 beds · 1 bath,https://a0.muscache.com/pictures/c3bedc2c-afd8-4e14-ac93-82fcd31b50c3.jpg,2691904,2012-06-20,81.0,98.0,Praha 1,50.08579,14.4183,Entire home/apt,6, bath,3.0,5948.0,2,60,72,4.8,30,0.63,False,False,False, more than 10,False,False,8.690810307580046,1.0,False,False,True,False,True,True,False,True,True,True,True,>3000
80,551794,Rental unit in Prague · ★4.88 · Studio · 2 beds · 1 bath,https://a0.muscache.com/pictures/ca27b31d-3932-4e4b-9cf5-0f001f1f480c.jpg,2691904,2012-06-20,81.0,98.0,Praha 1,50.08632,14.41838,Entire home/apt,4, bath,2.0,4168.0,2,60,66,4.88,30,0.36,False,False,False, more than 10,False,False,8.335191583433202,1.0,False,False,True,False,True,True,False,True,True,True,True,>3000
81,551962,Rental unit in Prague · ★4.61 · Studio · 2 beds · 1 bath,https://a0.muscache.com/pictures/d68ca204-69ea-425e-b7c2-51f6eb0b7ea7.jpg,2691904,2012-06-20,81.0,98.0,Praha 1,50.08617,14.41655,Entire home/apt,4, bath,2.0,4396.0,2,60,75,4.61,30,0.42,False,False,False, more than 10,False,False,8.388450315523512,1.0,False,False,True,False,True,True,False,True,True,True,True,>3000
82,552021,Rental unit in Prague · ★4.89 · 1 bedroom · 2 beds · 1.5 baths,https://a0.muscache.com/pictures/bdc4ca05-2262-42c9-9035-45dbc4f5d85b.jpg,2691904,2012-06-20,81.0,98.0,Praha 1,50.08455,14.41683,Entire home/apt,4, baths,2.0,4834.0,2,60,63,4.89,30,0.28,False,False,False, more than 10,False,False,8.483429561263428,1.5,False,False,True,False,True,True,False,True,True,True,True,>3000
83,561841,Rental unit in Prague · ★4.16 · 1 bedroom · 3 beds · 1 bath,https://a0.muscache.com/pictures/931685c0-20f0-4191-9669-b1603044691b.jpg,2729239,2012-06-24,90.5,99.0,Praha 3,50.09283,14.49104,Private room,3, bath,3.0,467.0,28,1125,0,4.16,1,0.39,False,True,False, more than 10,False,False,6.1463292576688975,1.0,False,False,False,False,True,True,False,True,False,True,False,<500
84,592535,Rental unit in Prague · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,https://a0.muscache.com/pictures/b2307085-108b-4098-8e2f-869ad337cdd8.jpg,423259,2011-03-04,100.0,100.0,Praha 7,50.09992,14.43387,Private room,2, baths,1.0,851.0,61,365,48,4.89,15,0.27,False,True,False, more than 10,False,False,6.7464121285733745,1.5,False,False,True,True,True,True,True,True,True,True,True,500-1000
